Year,StockKeyLabel,FisheriesGuild,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
2001,fle.27.2223,benthic,NA,18.27,F,B_index,2540,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,fle.27.2223,benthic,NA,24.4,F,B_index,1849,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,fle.27.2223,benthic,NA,15.84,F,B_index,1337,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,fle.27.2223,benthic,NA,16.6,F,B_index,1298,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,fle.27.2223,benthic,NA,12.87,F,B_index,1041,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,fle.27.2223,benthic,NA,33.35,F,B_index,866,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,fle.27.2223,benthic,NA,29.53,F,B_index,1250,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,fle.27.2223,benthic,NA,26.43,F,B_index,1427,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,fle.27.2223,benthic,NA,27.96,F,B_index,1176,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,fle.27.2223,benthic,NA,54.61,F,B_index,1053,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,fle.27.2223,benthic,NA,41.8,F,B_index,1044,NA,NA,2019,NA,NA,NA,NA,NA,NA
2012,fle.27.2223,benthic,NA,54.04,F,B_index,1219,NA,NA,2019,NA,NA,NA,NA,NA,NA
2013,fle.27.2223,benthic,NA,62.55,F,B_index,1454,NA,NA,2019,NA,NA,NA,NA,NA,NA
2014,fle.27.2223,benthic,NA,85.93,F,B_index,1193,1733,540,2019,NA,NA,NA,NA,NA,NA
2015,fle.27.2223,benthic,NA,87.17,F,B_index,1130,1443,314,2019,NA,NA,NA,NA,NA,NA
2016,fle.27.2223,benthic,NA,66.85,F,B_index,1153,1648,495,2019,NA,NA,NA,NA,NA,NA
2017,fle.27.2223,benthic,NA,41.36,F,B_index,1158,1407,249,2019,NA,NA,NA,NA,NA,NA
2018,fle.27.2223,benthic,NA,38.95,F,B_index,809,982,173,2019,NA,NA,NA,NA,NA,NA
1973,fle.27.2425,benthic,NA,NA,F,B_index,5612,NA,NA,2019,NA,NA,NA,NA,NA,NA
1974,fle.27.2425,benthic,NA,NA,F,B_index,6822,NA,NA,2019,NA,NA,NA,NA,NA,NA
1975,fle.27.2425,benthic,NA,NA,F,B_index,5825,NA,NA,2019,NA,NA,NA,NA,NA,NA
1976,fle.27.2425,benthic,NA,NA,F,B_index,4890,NA,NA,2019,NA,NA,NA,NA,NA,NA
1977,fle.27.2425,benthic,NA,NA,F,B_index,6684,NA,NA,2019,NA,NA,NA,NA,NA,NA
1978,fle.27.2425,benthic,NA,NA,F,B_index,4330,NA,NA,2019,NA,NA,NA,NA,NA,NA
1979,fle.27.2425,benthic,NA,NA,F,B_index,4462,NA,NA,2019,NA,NA,NA,NA,NA,NA
1980,fle.27.2425,benthic,NA,NA,F,B_index,4737,NA,NA,2019,NA,NA,NA,NA,NA,NA
1981,fle.27.2425,benthic,NA,NA,F,B_index,4346,NA,NA,2019,NA,NA,NA,NA,NA,NA
1982,fle.27.2425,benthic,NA,NA,F,B_index,5999,NA,NA,2019,NA,NA,NA,NA,NA,NA
1983,fle.27.2425,benthic,NA,NA,F,B_index,6031,NA,NA,2019,NA,NA,NA,NA,NA,NA
1984,fle.27.2425,benthic,NA,NA,F,B_index,5542,NA,NA,2019,NA,NA,NA,NA,NA,NA
1985,fle.27.2425,benthic,NA,NA,F,B_index,6009,NA,NA,2019,NA,NA,NA,NA,NA,NA
1986,fle.27.2425,benthic,NA,NA,F,B_index,7487,NA,NA,2019,NA,NA,NA,NA,NA,NA
1987,fle.27.2425,benthic,NA,NA,F,B_index,5687,NA,NA,2019,NA,NA,NA,NA,NA,NA
1988,fle.27.2425,benthic,NA,NA,F,B_index,5762,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,fle.27.2425,benthic,NA,NA,F,B_index,6632,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,fle.27.2425,benthic,NA,NA,F,B_index,4758,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,fle.27.2425,benthic,NA,NA,F,B_index,5374,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,fle.27.2425,benthic,NA,NA,F,B_index,4953,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,fle.27.2425,benthic,NA,NA,F,B_index,5231,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,fle.27.2425,benthic,NA,NA,F,B_index,8493,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,fle.27.2425,benthic,NA,NA,F,B_index,12602,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,fle.27.2425,benthic,NA,NA,F,B_index,10517,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,fle.27.2425,benthic,NA,NA,F,B_index,8697,NA,NA,2019,NA,NA,NA,NA,NA,NA
1998,fle.27.2425,benthic,NA,NA,F,B_index,8587,NA,NA,2019,NA,NA,NA,NA,NA,NA
1999,fle.27.2425,benthic,NA,NA,F,B_index,7165,NA,NA,2019,NA,NA,NA,NA,NA,NA
2000,fle.27.2425,benthic,NA,NA,F,B_index,8288,NA,NA,2019,NA,NA,NA,NA,NA,NA
2001,fle.27.2425,benthic,NA,30.877,F,B_index,10464,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,fle.27.2425,benthic,NA,58.426,F,B_index,12982,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,fle.27.2425,benthic,NA,31.938,F,B_index,9360,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,fle.27.2425,benthic,NA,41.305,F,B_index,11370,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,fle.27.2425,benthic,NA,43.872,F,B_index,12696,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,fle.27.2425,benthic,NA,60.195,F,B_index,10852,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,fle.27.2425,benthic,NA,45.017,F,B_index,11891,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,fle.27.2425,benthic,NA,86.719,F,B_index,10411,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,fle.27.2425,benthic,NA,87.139,F,B_index,10227,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,fle.27.2425,benthic,NA,107.701,F,B_index,11348,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,fle.27.2425,benthic,NA,73.641,F,B_index,10610,NA,NA,2019,NA,NA,NA,NA,NA,NA
