"","StockKeyLabel","AssessmentYear","AssessmentKey","Purpose","Ecoregion","AdviceCategory","AssessmentKey1","lineNumber","lineDescription","fishingPressure","stockSize","stockSizeStatus","fishingPressureStatus","year","status","statusicon","type"
"31","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","2","Precautionary Approach","F<sub>pa</sub>, F<sub>lim</sub>","B<sub>pa</sub>, B<sub>lim</sub>","Full reproductive capacity","Undefined",2015,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"32","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","2","Precautionary Approach","F<sub>pa</sub>, F<sub>lim</sub>","B<sub>pa</sub>, B<sub>lim</sub>","Full reproductive capacity","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"33","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","2","Precautionary Approach","F<sub>pa</sub>, F<sub>lim</sub>","B<sub>pa</sub>, B<sub>lim</sub>","Full reproductive capacity","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"34","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","2","Precautionary Approach","F<sub>pa</sub>, F<sub>lim</sub>","B<sub>pa</sub>, B<sub>lim</sub>","Full reproductive capacity","Undefined",2015,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"35","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","2","Precautionary Approach","F<sub>pa</sub>, F<sub>lim</sub>","B<sub>pa</sub>, B<sub>lim</sub>","Full reproductive capacity","Undefined",2016,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"36","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","2","Precautionary Approach","F<sub>pa</sub>, F<sub>lim</sub>","B<sub>pa</sub>, B<sub>lim</sub>","Full reproductive capacity","Undefined",2017,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
"37","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Above upper trigger","Undefined",2015,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"38","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Above upper trigger","Undefined",2016,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"39","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Above upper trigger","Undefined",2017,6,"http://sg.ices.dk/download/icons/6.png","Fishing pressure"
"40","ane.27.8",2017,9266,"Advice","Bay of Biscay and the Iberian Coast Ecoregion, Oceanic Northeast Atlantic Ecoregion","MP","9266","3","Management plan","F<sub>MGT</sub>","B<sub>MGT</sub>","Above upper trigger","Undefined",2015,1,"http://sg.ices.dk/download/icons/1.png","Stock Size"
